experience_level,current_difficulty,target_reps,completed_reps,completion_rate,correct_rep_percentage,average_form_score,previous_form_score,performance_trend,sessions_completed,rpe,next_difficulty_action
BEGINNER,HARD,8,4,0.5,0.5172315033405852,67.61613257041253,58.48230129125005,9.133831279162479,45,3,MAINTAIN
BEGINNER,EASY,8,4,0.5,0.7105188143557606,91.69775404251651,65.83598489379976,25.861769148716746,19,3,MAINTAIN
ADVANCED,MEDIUM,11,6,0.5454545454545454,0.5713909914171315,59.81217796434562,66.6475914882563,-6.835413523910674,34,9,DECREASE
INTERMEDIATE,EASY,13,13,1.0,0.9039635404938011,99.08733691612075,98.71845204748004,0.3688848686407056,48,2,INCREASE
ADVANCED,MEDIUM,11,6,0.5454545454545454,0.9343419294216502,89.16430072408485,67.47383033732255,21.6904703867623,15,9,MAINTAIN
INTERMEDIATE,MEDIUM,8,5,0.625,0.6193103432384326,97.44532240568364,75.20364313317212,22.24167927251152,21,4,MAINTAIN
INTERMEDIATE,MEDIUM,11,9,0.8181818181818182,0.5140447882623685,64.723216561724,52.487862140955514,12.235354420768488,16,1,MAINTAIN
INTERMEDIATE,EASY,13,9,0.6923076923076923,0.5218762407712187,55.041262216699174,51.62625886138832,3.4150033553108514,39,8,DECREASE
ADVANCED,MEDIUM,13,14,1.0,0.7280357369317427,61.97862577608856,90.1842006886927,-28.205574912604135,15,2,MAINTAIN
INTERMEDIATE,EASY,15,16,1.0,0.6082914940335475,96.21767117157358,91.12264900561817,5.095022165955413,10,4,INCREASE
BEGINNER,MEDIUM,15,8,0.5333333333333333,0.9400398187480623,93.88245646922408,55.97155837341496,37.910898095809124,15,7,MAINTAIN
BEGINNER,MEDIUM,10,5,0.5,0.8418564746834303,90.59493232947132,50.93314637868869,39.66178595078263,35,8,MAINTAIN
BEGINNER,EASY,12,10,0.8333333333333334,0.5147089461758145,94.59696082225778,78.25958751224414,16.337373310013646,39,4,MAINTAIN
INTERMEDIATE,EASY,8,6,0.75,0.8256835463727352,79.78065974424582,95.29130365675373,-15.510643912507902,16,9,MAINTAIN
ADVANCED,HARD,13,11,0.8461538461538461,0.9640218817030269,88.62544628915016,52.101822184917864,36.5236241042323,45,4,INCREASE
BEGINNER,HARD,9,9,1.0,0.5587518679282215,70.32299136445047,77.11164955553426,-6.788658191083783,13,1,MAINTAIN
BEGINNER,HARD,8,7,0.875,0.8004558279642471,66.78420716097014,74.77112137195584,-7.986914210985702,44,2,MAINTAIN
ADVANCED,MEDIUM,12,10,0.8333333333333334,0.6320470994778256,98.43990960802078,60.85477602217271,37.58513358584808,29,9,MAINTAIN
INTERMEDIATE,HARD,9,9,1.0,0.7825304550772587,80.78082893290764,50.51641463333364,30.264414299574,46,1,INCREASE
ADVANCED,HARD,15,8,0.5333333333333333,0.787100019878316,59.56277119101954,80.6655479731436,-21.10277678212406,35,6,DECREASE
INTERMEDIATE,EASY,14,7,0.5,0.8901418448060812,86.18430001380923,64.58954643162724,21.594753582181994,1,2,MAINTAIN
ADVANCED,HARD,9,7,0.7777777777777778,0.5591281617111211,59.17875048597405,92.63515729474508,-33.456406808771035,41,8,DECREASE
ADVANCED,EASY,13,10,0.7692307692307693,0.5600594310567895,66.97147575340091,94.43840102600475,-27.466925272603845,4,7,MAINTAIN
INTERMEDIATE,MEDIUM,9,5,0.5555555555555556,0.7705345137539542,65.21304826866435,71.3239435043487,-6.110895235684353,25,5,MAINTAIN
INTERMEDIATE,EASY,8,7,0.875,0.5919936855593921,60.40602053864299,67.561962109306,-7.155941570663003,33,8,MAINTAIN
BEGINNER,EASY,14,15,1.0,0.812234544764831,75.59122898549711,73.48963442344956,2.101594562047552,36,9,MAINTAIN
INTERMEDIATE,EASY,15,15,1.0,0.9648186238758201,53.9420812531241,51.12122723472537,2.820854018398734,34,3,INCREASE
ADVANCED,HARD,8,7,0.875,0.9422839032091015,89.47159083109338,73.70507073849319,15.766520092600189,40,1,INCREASE
BEGINNER,EASY,12,10,0.8333333333333334,0.7544835367180014,64.59765253226576,58.48472327463388,6.112929257631876,9,2,MAINTAIN
BEGINNER,EASY,11,6,0.5454545454545454,0.8438695324038368,66.45217093662528,86.22974323495423,-19.77757229832895,41,10,DECREASE
INTERMEDIATE,MEDIUM,13,10,0.7692307692307693,0.8485508032978497,54.16984540165532,70.20375289442784,-16.033907492772514,1,1,MAINTAIN
BEGINNER,EASY,15,10,0.6666666666666666,0.7367517452843848,66.8554054959912,73.70969002354192,-6.854284527550718,15,1,MAINTAIN
INTERMEDIATE,MEDIUM,12,6,0.5,0.5635211947743292,67.83016967613595,78.90435517357766,-11.074185497441704,31,1,MAINTAIN
BEGINNER,MEDIUM,10,10,1.0,0.8062613502242875,73.28467866566385,55.11808118987382,18.166597475790027,43,8,MAINTAIN
ADVANCED,HARD,13,10,0.7692307692307693,0.6652752465821284,73.89587102848746,99.30675793429319,-25.410886905805725,13,7,MAINTAIN
ADVANCED,EASY,14,12,0.8571428571428571,0.5510201274462556,64.11755426264767,87.53871619757301,-23.421161934925337,16,4,MAINTAIN
INTERMEDIATE,HARD,9,6,0.6666666666666666,0.9645407331105447,80.84801387051407,99.31799825947805,-18.46998438896398,42,2,MAINTAIN
BEGINNER,HARD,10,6,0.6,0.6397893044636078,82.63035091484969,80.0717458380426,2.5586050768070834,2,6,MAINTAIN
BEGINNER,MEDIUM,10,7,0.7,0.6148620611967719,99.60120743757656,74.64371292431709,24.957494513259476,44,7,MAINTAIN
INTERMEDIATE,MEDIUM,15,11,0.7333333333333333,0.6900404300434948,77.20763324629954,91.99731530717696,-14.789682060877425,42,10,MAINTAIN
BEGINNER,MEDIUM,15,16,1.0,0.6074998863516137,75.51759504788524,61.06506475033892,14.452530297546318,3,4,MAINTAIN
BEGINNER,MEDIUM,15,14,0.9333333333333333,0.5683500224659654,93.37093682365003,59.53245430778338,33.838482515866644,32,6,MAINTAIN
ADVANCED,EASY,13,10,0.7692307692307693,0.7614896760159882,63.88478680947047,54.05375459949022,9.83103220998025,45,5,MAINTAIN
INTERMEDIATE,MEDIUM,11,8,0.7272727272727273,0.9041849231404235,78.08993079648839,65.15400781825524,12.935922978233151,37,1,INCREASE
INTERMEDIATE,HARD,15,14,0.9333333333333333,0.7990314611529382,88.49247755920135,81.26039180974685,7.232085749454498,39,7,MAINTAIN
BEGINNER,EASY,10,8,0.8,0.7462429193804592,72.59644024940495,95.51692950418716,-22.92048925478221,1,4,MAINTAIN
INTERMEDIATE,MEDIUM,15,8,0.5333333333333333,0.837838337525761,71.16241774623346,78.0226368624262,-6.860219116192738,3,2,MAINTAIN
INTERMEDIATE,HARD,12,9,0.75,0.544722781773147,96.50445487669263,62.63186759834355,33.87258727834909,1,10,MAINTAIN
INTERMEDIATE,HARD,9,8,0.8888888888888888,0.6386501271690723,98.2487428236216,72.46833642739074,25.78040639623086,40,6,INCREASE
ADVANCED,EASY,15,14,0.9333333333333333,0.8189692136667661,99.2826594460299,84.36101143113024,14.92164801489966,6,4,INCREASE
BEGINNER,HARD,12,11,0.9166666666666666,0.691518796231784,55.06996609309609,76.6548030255899,-21.584836932493808,28,2,MAINTAIN
ADVANCED,HARD,11,6,0.5454545454545454,0.8129371698572558,92.70907478611824,84.05887549361691,8.650199292501327,26,5,MAINTAIN
ADVANCED,HARD,12,9,0.75,0.6673390262711985,83.44639669587502,82.05088933924891,1.395507356626112,40,4,MAINTAIN
INTERMEDIATE,EASY,15,11,0.7333333333333333,0.8713674008518646,65.9873047862844,73.9919710500298,-8.004666263745406,38,4,MAINTAIN
INTERMEDIATE,MEDIUM,12,6,0.5,0.7025683644595778,85.57735647648433,79.22752549728177,6.349830979202551,47,1,MAINTAIN
BEGINNER,MEDIUM,14,10,0.7142857142857143,0.8616427307582933,62.18148400568286,74.60817743573921,-12.426693430056346,24,2,MAINTAIN
BEGINNER,HARD,14,13,0.9285714285714286,0.8327096397391707,63.00027517482454,71.43657064417158,-8.436295469347044,13,5,MAINTAIN
INTERMEDIATE,EASY,9,7,0.7777777777777778,0.6915753396145583,95.02910579733395,51.51622260803952,43.512883189294435,14,2,INCREASE
ADVANCED,MEDIUM,8,6,0.75,0.53058226627661,66.26696661098433,74.67613896314357,-8.409172352159246,50,9,DECREASE
BEGINNER,EASY,9,7,0.7777777777777778,0.5490402785671957,53.55106283097214,54.444632147508045,-0.8935693165359027,37,7,MAINTAIN
ADVANCED,HARD,14,7,0.5,0.9418933048835373,63.324892308305195,53.28507207655318,10.039820231752017,9,5,MAINTAIN
ADVANCED,MEDIUM,8,8,1.0,0.8446405815150706,63.198032346268626,54.565052552859825,8.6329797934088,14,9,MAINTAIN
ADVANCED,HARD,14,12,0.8571428571428571,0.6965259279788996,53.41294163105063,52.85778293024718,0.555158700803446,8,8,MAINTAIN
INTERMEDIATE,MEDIUM,8,5,0.625,0.5911568338617241,75.30331769299171,50.1705067324783,25.13281096051341,37,7,MAINTAIN
INTERMEDIATE,HARD,9,8,0.8888888888888888,0.8326965497584075,75.36199459350988,71.96099627963152,3.400998313878361,29,3,MAINTAIN
INTERMEDIATE,MEDIUM,8,5,0.625,0.5252193046738809,90.07556910555284,93.29727367916394,-3.221704573611092,36,3,MAINTAIN
ADVANCED,HARD,9,6,0.6666666666666666,0.5201172177680786,59.39294442472931,92.30164447130286,-32.90870004657356,4,3,MAINTAIN
ADVANCED,HARD,13,8,0.6153846153846154,0.8945498890250495,86.86355787260555,82.10154716552242,4.762010707083135,2,7,MAINTAIN
BEGINNER,MEDIUM,13,13,1.0,0.8637345487600752,62.47525372281416,75.19888162099937,-12.723627898185214,26,2,MAINTAIN
INTERMEDIATE,EASY,13,14,1.0,0.6883792891555931,86.78681436410699,85.93686960162,0.8499447624869845,7,3,INCREASE
ADVANCED,EASY,12,12,1.0,0.9522502631209477,76.84670585255031,54.9680128498753,21.878693002675014,47,6,INCREASE
ADVANCED,HARD,10,7,0.7,0.5311154534016476,63.58416872708607,82.76008733696116,-19.17591860987509,5,10,DECREASE
INTERMEDIATE,HARD,9,7,0.7777777777777778,0.5541743747496675,89.9915635704522,56.8863654511801,33.1051981192721,10,5,MAINTAIN
BEGINNER,EASY,14,12,0.8571428571428571,0.7631513461276831,68.28502050682462,95.30858040030074,-27.02355989347612,4,10,MAINTAIN
INTERMEDIATE,HARD,10,8,0.8,0.5456732292688676,88.05992854371472,54.78942072662891,33.27050781708581,38,2,INCREASE
ADVANCED,HARD,8,7,0.875,0.5006073432299241,71.67543234037862,50.72570127201448,20.949731068364137,14,8,MAINTAIN
ADVANCED,EASY,9,8,0.8888888888888888,0.9023908125808436,74.21819407540288,60.96299382219734,13.255200253205537,16,5,MAINTAIN
ADVANCED,EASY,8,8,1.0,0.6644661105536642,68.1487261959387,72.12580685189474,-3.97708065595603,33,5,MAINTAIN
ADVANCED,MEDIUM,13,9,0.6923076923076923,0.7162697238882695,61.838041944812076,76.42151041113097,-14.583468466318891,24,3,MAINTAIN
BEGINNER,EASY,13,10,0.7692307692307693,0.6370076183685377,66.47064392831135,86.27350266555825,-19.802858737246908,36,4,MAINTAIN
BEGINNER,MEDIUM,14,8,0.5714285714285714,0.6818520401351686,55.92646885432308,83.54728108662002,-27.620812232296934,35,1,MAINTAIN
BEGINNER,MEDIUM,9,6,0.6666666666666666,0.5567132129545094,63.68660126431587,50.796302747882876,12.890298516432992,43,5,MAINTAIN
ADVANCED,HARD,11,7,0.6363636363636364,0.8626118790448059,50.581422250376754,97.28159377921816,-46.7001715288414,17,10,DECREASE
ADVANCED,HARD,9,8,0.8888888888888888,0.5094837664046845,58.82687669933786,75.43230559543537,-16.605428896097507,20,10,DECREASE
ADVANCED,HARD,12,11,0.9166666666666666,0.6632800971560846,66.74489712607098,94.44948061026152,-27.704583484190536,41,7,MAINTAIN
BEGINNER,EASY,15,10,0.6666666666666666,0.6243658471591229,71.17433729260833,55.04178343185794,16.13255386075039,13,10,MAINTAIN
INTERMEDIATE,EASY,14,11,0.7857142857142857,0.6555341316464078,94.60516218194587,74.92588608475864,19.679276097187227,33,10,MAINTAIN
BEGINNER,MEDIUM,13,8,0.6153846153846154,0.9606865669148359,75.02913396091051,82.90441976489959,-7.8752858039890725,5,3,MAINTAIN
BEGINNER,MEDIUM,10,10,1.0,0.8254780255676117,55.04920363857711,95.14484054854172,-40.09563690996461,47,10,MAINTAIN
INTERMEDIATE,MEDIUM,9,8,0.8888888888888888,0.5894211377187433,54.884925838094766,70.52214959948961,-15.637223761394843,25,6,MAINTAIN
BEGINNER,MEDIUM,9,7,0.7777777777777778,0.5459406860965543,93.37049613849906,70.92567781638832,22.44481832211075,22,2,INCREASE
ADVANCED,MEDIUM,11,8,0.7272727272727273,0.6691469993660688,99.10937176156476,50.66145349209566,48.4479182694691,44,2,INCREASE
INTERMEDIATE,MEDIUM,15,11,0.7333333333333333,0.9467293791603493,98.56925816393041,89.13315588972173,9.436102274208679,28,8,MAINTAIN
INTERMEDIATE,HARD,9,5,0.5555555555555556,0.5271846839461556,80.40245047072479,84.93328928973119,-4.530838819006405,48,5,MAINTAIN
ADVANCED,EASY,11,10,0.9090909090909091,0.7266404940707454,84.19632499163484,61.836247621286674,22.360077370348165,14,5,INCREASE
ADVANCED,HARD,13,8,0.6153846153846154,0.8663550141770434,63.38587212300178,69.21418146854407,-5.828309345542287,2,1,MAINTAIN
INTERMEDIATE,MEDIUM,9,9,1.0,0.9121165909369428,60.29449846034343,90.19803403634182,-29.90353557599839,27,10,MAINTAIN
INTERMEDIATE,MEDIUM,9,6,0.6666666666666666,0.6794504991881409,73.49759895542613,60.08052347540748,13.417075480018646,13,1,MAINTAIN
INTERMEDIATE,HARD,14,8,0.5714285714285714,0.5625209446027333,96.3974715943504,55.523542819631565,40.87392877471884,21,8,MAINTAIN
BEGINNER,MEDIUM,8,5,0.625,0.9390962851853419,54.518353689904266,68.15525556062954,-13.636901870725275,43,8,MAINTAIN
INTERMEDIATE,HARD,15,9,0.6,0.8962892279279498,76.36011153741543,91.83226531884858,-15.47215378143315,31,5,MAINTAIN
INTERMEDIATE,MEDIUM,13,7,0.5384615384615384,0.97039086044023,87.67231434268017,57.19302834569537,30.4792859969848,34,10,MAINTAIN
BEGINNER,HARD,11,7,0.6363636363636364,0.5096270315405738,80.08246573420503,50.01354994005384,30.068915794151188,33,9,MAINTAIN
ADVANCED,EASY,11,6,0.5454545454545454,0.8665555704208265,89.93960501937681,67.06746775568988,22.872137263686938,18,2,MAINTAIN
BEGINNER,EASY,10,8,0.8,0.6228431044201512,92.60574765903394,97.63614336199157,-5.030395702957634,32,8,MAINTAIN
BEGINNER,MEDIUM,10,7,0.7,0.5093020575375098,75.49822712615008,87.88208451787284,-12.383857391722756,49,9,DECREASE
ADVANCED,EASY,10,7,0.7,0.7652805693698648,77.56717327760009,51.203753868131194,26.363419409468897,5,9,MAINTAIN
BEGINNER,HARD,13,11,0.8461538461538461,0.9242410499698446,60.50650653491908,57.60230479975593,2.9042017351631557,11,3,MAINTAIN
BEGINNER,MEDIUM,15,8,0.5333333333333333,0.7565968739177789,63.95190520986001,84.9555814055643,-21.003676195704294,24,6,DECREASE
INTERMEDIATE,MEDIUM,14,7,0.5,0.5185361837763856,62.08008762762179,89.44676050017543,-27.366672872553636,30,3,DECREASE
BEGINNER,EASY,15,10,0.6666666666666666,0.8447297734457944,63.50818010525916,95.19726727561782,-31.68908717035866,15,6,MAINTAIN
ADVANCED,HARD,13,12,0.9230769230769231,0.7309964094555943,77.89477412779652,88.32355557997275,-10.428781452176224,19,6,MAINTAIN
INTERMEDIATE,EASY,14,12,0.8571428571428571,0.5604231005383596,51.846754208063444,56.92333546390056,-5.076581255837112,2,4,MAINTAIN
ADVANCED,MEDIUM,13,11,0.8461538461538461,0.6401594125118716,66.32817993135234,93.8827861180296,-27.554606186677262,35,8,MAINTAIN
INTERMEDIATE,EASY,12,8,0.6666666666666666,0.6279286450333543,88.62126830445617,64.22553358241959,24.39573472203658,6,8,MAINTAIN
ADVANCED,MEDIUM,14,13,0.9285714285714286,0.6965655870574576,66.72528718740162,86.05157679693298,-19.326289609531358,1,10,MAINTAIN
ADVANCED,EASY,11,11,1.0,0.9051442808327519,73.50636699139082,50.93707923230221,22.56928775908861,7,1,INCREASE
BEGINNER,EASY,14,11,0.7857142857142857,0.9373893946556728,86.12512679448453,59.904705710726525,26.220421083758005,36,3,INCREASE
INTERMEDIATE,MEDIUM,14,8,0.5714285714285714,0.713889378924595,71.88472680177753,61.6155577061397,10.269169095637835,9,7,MAINTAIN
INTERMEDIATE,EASY,11,7,0.6363636363636364,0.6740815808489478,79.31347007177874,58.204921037890266,21.108549033888472,41,1,MAINTAIN
BEGINNER,MEDIUM,14,9,0.6428571428571429,0.9736617163355892,85.41053921995487,72.67340408681214,12.73713513314273,27,8,MAINTAIN
INTERMEDIATE,HARD,11,9,0.8181818181818182,0.7235156802307962,78.17170503186344,88.58194578294298,-10.410240751079542,28,6,MAINTAIN
INTERMEDIATE,MEDIUM,9,7,0.7777777777777778,0.8216317556039963,87.98520515060653,79.29973844967893,8.685466700927606,7,2,INCREASE
INTERMEDIATE,MEDIUM,10,7,0.7,0.6458464370968585,85.28089375781784,99.00600759065203,-13.725113832834197,49,10,MAINTAIN
INTERMEDIATE,EASY,12,8,0.6666666666666666,0.7100390586835086,78.3057950439906,56.008757266547235,22.297037777443364,50,1,MAINTAIN
BEGINNER,HARD,14,10,0.7142857142857143,0.9418194621241001,90.72347767792795,88.44865162139749,2.2748260565304577,22,1,INCREASE
INTERMEDIATE,MEDIUM,13,13,1.0,0.6839736978106116,94.86105302163358,50.187182208776626,44.673870812856954,31,8,INCREASE
ADVANCED,EASY,11,10,0.9090909090909091,0.5350043864275488,91.4349018879173,81.58025044419414,9.85465144372317,41,9,MAINTAIN
BEGINNER,EASY,14,8,0.5714285714285714,0.9538860338492517,71.02357379157064,73.71379693248298,-2.6902231409123374,43,3,MAINTAIN
BEGINNER,HARD,12,7,0.5833333333333334,0.8474956364389901,80.35308520162604,69.854652540087,10.498432661539042,39,3,MAINTAIN
INTERMEDIATE,MEDIUM,11,11,1.0,0.9630753063903126,65.22378411187812,77.41324777075758,-12.189463658879461,40,5,MAINTAIN
INTERMEDIATE,HARD,13,10,0.7692307692307693,0.7716324884202526,67.61725308575271,97.05855709482961,-29.4413040090769,5,8,MAINTAIN
INTERMEDIATE,MEDIUM,9,6,0.6666666666666666,0.77327496530141,65.85639101435504,66.96992898740731,-1.1135379730522743,46,2,MAINTAIN
INTERMEDIATE,MEDIUM,8,5,0.625,0.8214929953167909,90.25909367005599,90.27078379193215,-0.011690121876156923,5,4,MAINTAIN
INTERMEDIATE,HARD,10,8,0.8,0.8015935515475174,55.9081448152355,90.38894990817906,-34.480805092943555,45,3,MAINTAIN
INTERMEDIATE,HARD,8,8,1.0,0.5297944122721399,67.87898374703133,91.15184599942889,-23.27286225239756,30,4,MAINTAIN
INTERMEDIATE,EASY,8,6,0.75,0.9937344330441922,58.21314552260556,57.60340754563589,0.6097379769696687,34,6,MAINTAIN
INTERMEDIATE,HARD,14,13,0.9285714285714286,0.8442247794094093,83.29850426410479,94.48986587287254,-11.19136160876775,32,4,MAINTAIN
INTERMEDIATE,HARD,14,12,0.8571428571428571,0.5427712221934937,95.7549918839391,97.66728297262367,-1.9122910886845688,50,4,MAINTAIN
INTERMEDIATE,EASY,13,13,1.0,0.6599186212952619,60.45441602566035,63.436379745492395,-2.981963719832045,40,3,MAINTAIN
ADVANCED,EASY,15,15,1.0,0.8972647532811455,72.54455620985286,64.836246228614,7.708309981238855,7,9,MAINTAIN
BEGINNER,EASY,10,7,0.7,0.5543428229576453,81.94950238681183,63.583656843190745,18.365845543621084,10,8,MAINTAIN
BEGINNER,HARD,14,12,0.8571428571428571,0.8992452493211811,60.23336589456687,71.0028057908024,-10.769439896235525,10,2,MAINTAIN
ADVANCED,HARD,13,12,0.9230769230769231,0.5471567973177961,69.06005564958534,81.61552818149661,-12.555472531911278,48,3,MAINTAIN
ADVANCED,HARD,14,9,0.6428571428571429,0.9772231088340833,75.03900157562012,60.32754807789878,14.711453497721337,14,4,MAINTAIN
ADVANCED,MEDIUM,13,7,0.5384615384615384,0.6879591694212559,58.76747583558057,71.30438389499915,-12.536908059418579,11,7,DECREASE
ADVANCED,EASY,14,12,0.8571428571428571,0.7777387030680967,51.35141377356771,64.9660458949702,-13.614632121402487,40,7,MAINTAIN
INTERMEDIATE,HARD,8,4,0.5,0.8387977578401187,73.5224906800799,74.37804766509454,-0.8555569850146441,18,8,MAINTAIN
BEGINNER,EASY,9,6,0.6666666666666666,0.5001480469113959,87.24492528274202,79.49610726364564,7.748818019096376,40,10,MAINTAIN
INTERMEDIATE,EASY,14,8,0.5714285714285714,0.7632086036776162,83.81369123486525,81.05434064585702,2.7593505890082213,35,5,MAINTAIN
BEGINNER,MEDIUM,12,11,0.9166666666666666,0.6834272870102307,58.62832375147187,59.12631994968896,-0.49799619821709484,22,3,MAINTAIN
BEGINNER,EASY,8,7,0.875,0.9340813151331016,53.38817612740299,81.42392675923688,-28.035750631833885,16,9,MAINTAIN
BEGINNER,MEDIUM,10,5,0.5,0.6368034862987644,53.175792088659634,70.4938806721429,-17.31808858348326,50,10,DECREASE
INTERMEDIATE,MEDIUM,12,7,0.5833333333333334,0.6544406138693879,56.43725263740494,73.67038209505776,-17.233129457652822,15,3,MAINTAIN
INTERMEDIATE,HARD,14,11,0.7857142857142857,0.9631705517279354,87.91402495687656,80.21573718187464,7.698287775001916,29,5,INCREASE
INTERMEDIATE,EASY,15,15,1.0,0.8904942625107192,55.13061233579483,52.301536019601095,2.829076316193735,37,9,MAINTAIN
ADVANCED,HARD,14,13,0.9285714285714286,0.5234760540045451,57.49348372014379,95.69159541743716,-38.19811169729336,27,9,DECREASE
INTERMEDIATE,HARD,8,8,1.0,0.8363740342050882,98.09828717424541,73.61045771343872,24.487829460806694,17,6,INCREASE
BEGINNER,EASY,13,13,1.0,0.8518021006859826,56.60387291839508,61.886080301290114,-5.282207382895031,13,5,MAINTAIN
BEGINNER,HARD,8,6,0.75,0.5932662995124803,53.65719662791037,55.20598897368517,-1.5487923457747996,49,7,MAINTAIN
BEGINNER,EASY,14,14,1.0,0.5830113067078402,68.97517705755438,94.68962903276744,-25.714451975213066,11,3,MAINTAIN
INTERMEDIATE,MEDIUM,10,7,0.7,0.7959266146152948,51.70251970949089,87.4481634338611,-35.745643724370204,11,5,MAINTAIN
ADVANCED,MEDIUM,8,8,1.0,0.839670744761813,52.36422444484874,76.18928828289359,-23.825063838044848,15,1,MAINTAIN
